,ID,A,B
0,201,40401,0.0049751243781094
1,202,40804,0.0049504950495049
2,203,41209,0.0049261083743842
3,204,41616,0.0049019607843137
4,205,42025,0.0048780487804878
5,206,42436,0.0048543689320388
6,207,42849,0.0048309178743961
7,208,43264,0.0048076923076923
8,209,43681,0.0047846889952153
9,210,44100,0.0047619047619047
10,211,44521,0.004739336492891
11,212,44944,0.0047169811320754
12,213,45369,0.0046948356807511
13,214,45796,0.0046728971962616
14,215,46225,0.0046511627906976
15,216,46656,0.0046296296296296
16,217,47089,0.0046082949308755
17,218,47524,0.0045871559633027
18,219,47961,0.0045662100456621
19,220,48400,0.0045454545454545
20,221,48841,0.004524886877828
21,222,49284,0.0045045045045045
22,223,49729,0.0044843049327354
23,224,50176,0.0044642857142857
24,225,50625,0.0044444444444444
25,226,51076,0.0044247787610619
26,227,51529,0.0044052863436123
27,228,51984,0.0043859649122807
28,229,52441,0.0043668122270742
29,230,52900,0.0043478260869565
30,231,53361,0.0043290043290043
31,232,53824,0.0043103448275862
32,233,54289,0.0042918454935622
33,234,54756,0.0042735042735042
34,235,55225,0.0042553191489361
35,236,55696,0.0042372881355932
36,237,56169,0.0042194092827004
37,238,56644,0.0042016806722689
38,239,57121,0.00418410041841
39,240,57600,0.0041666666666666
40,241,58081,0.004149377593361
41,242,58564,0.0041322314049586
42,243,59049,0.0041152263374485
43,244,59536,0.0040983606557377
44,245,60025,0.0040816326530612
45,246,60516,0.0040650406504065
46,247,61009,0.0040485829959514
47,248,61504,0.0040322580645161
48,249,62001,0.0040160642570281
49,250,62500,0.004
